Mac-ID,SMILES,Avg-B-Score,Avg-Res-Growth,Active
MAC-0001411,"c1(c(nc(C(F)(F)F)cc1)C)C(=O)NCC=C	",-0.357,0.903,0
MAC-0001414,"S(=O)(=O)(N1CCN(Cc2c(F)cccc2Cl)CCC1)c1cc2c(cc1)cccc2	",13.0705,1.0235,0
MAC-0001416,"c1(C(=O)N2CCSCC2)c(nc(C(F)(F)F)cc1)C	",0.3055,0.9385,0
MAC-0001417,"c1(C(=O)Sc2ccc(F)cc2)c(nc(C(F)(F)F)cc1)C	",0.4905,0.9455,0
MAC-0001423,"c1(c(nc(C(F)(F)F)cc1)C)C(=O)O/N=C(/c1nccnc1)\N	",-3.0535,0.9315,0
MAC-0001425,"c1(nc(cs1)c1ccccc1)c1cc(c(nc1C)C(F)(F)F)C(=O)O	",-2.3165,1.0095,0
MAC-0001429,"c1(C(=O)Oc2c(cc(cc2)F)F)c(nc(C(F)(F)F)cc1)C	",4.638,0.9705,0
MAC-0001430,"c1(c(nc(C(F)(F)F)cc1)C)C(=O)NCc1cc(c(cc1)Cl)Cl	",2.4805,0.882,0
MAC-0001442,"C(c1cnc(NCCNCC(COc2ccccc2)O)cc1)(F)(F)F	",-2.9595,0.878,0
MAC-0001445,"C(c1cnc(NCCNCC(CSc2ccc(F)cc2)O)cc1)(F)(F)F	",-4.484,0.871,0
MAC-0001446,"C(c1cc(c(nc1)NCCCN)Cl)(F)(F)F	",0.208,0.935,0
MAC-0001448,"c1(nc(C(F)(F)F)ccn1)N1CCN(CC1)CCO	",-0.05,0.9385,0
MAC-0001449,"n1(ccc2c1cccc2)CC(O)CNCCNc1c(C(F)(F)F)cccn1	",-2.752,0.9315,0
MAC-0001454,"[N+](=O)(c1cnc(N2CCN(C(=S)Nc3cc4c(OCO4)cc3)CCC2)cc1)[O-]	",1.332,1.0375,0
MAC-0001459,"S(=O)(=O)(c1cc(c(NC(=O)C)cc1)Cl)N	",3.3365,0.995,0
MAC-0001462,"c12cc(OCC(CNC3CCN(Cc4ccccc4)CC3)O)ccc1OCO2	",-0.085,0.896,0
MAC-0001463,"C(c1nc(ncc1)NCCNC(=O)c1sccc1)(F)(F)F	",2.7775,0.9635,0
MAC-0001464,"C(c1nc(ncc1)NCCNC(=O)C1CC1)(F)(F)F	",-0.389,0.942,0
MAC-0000006,"C(c1nc(ncc1)NCCNC(=O)c1occc1)(F)(F)F	",1.378,0.981,0
MAC-0001470,"C(=O)(N1CCN(Cc2c(F)cccc2Cl)CCC1)Nc1ccccc1	",-0.5425,0.9705,0
MAC-0001472,"S(=O)(=O)(c1cc(c(cc1C)Cl)C)NCCNc1nc(C(F)(F)F)ccn1	",-1.171,0.981,0
MAC-0001473,"C(c1nc(ncc1)NC1CCN(Cc2ccccc2)CC1)(F)(F)F	",-0.3805,1.059,0
MAC-0001475,"c1(c(cc(cc1C)Cl)Br)OCC(O)CNCc1ccccc1	",-0.0665,0.959,0
MAC-0001478,"C(=S)(Nc1cnccc1)NCC1CC1	",-1.978,0.885,0
MAC-0000008,"C(=S)(Nc1cnccc1)NCc1occc1	",-0.1815,0.9655,0
MAC-0001481,"c1(c(ccc(c1)OCC(O)CNCc1occc1)C)C	",0.8495,0.969,0
MAC-0001482,"C(=S)(Nc1cnccc1)NC1CCN(Cc2ccccc2)CC1	",-0.452,0.976,0
MAC-0001486,"c1(nc2c(s1)cc(cc2)Cl)N1CCN(CC(COc2cc3c(OCO3)cc2)O)CCC1	",0.5345,0.9725,0
MAC-0001487,"n1c(n2nc(cc2)c2sccc2)snc1c1ccccc1	",1.9415,0.987,0
MAC-0001488,"C(=O)(NNC(COc1cc(c(cc1)C)C)O)OC(C)(C)C	",2.2845,1.037,0
MAC-0001493,"n1n(c2nc(C(F)(F)F)ccn2)ccc1c1sccc1	",3.132,0.9925,0
MAC-0001494,"c1([N+](=O)[O-])c(n2nc(cc2)c2sccc2)ccc(C(F)(F)F)c1	",0.9005,0.915,0
MAC-0001495,"c1([N+](=O)[O-])c(N2CCN(C(=O)c3oc([N+](=O)[O-])cc3)CCC2)ccc(C(F)(F)F)c1	",-0.9045,0.9585,0
MAC-0001498,"n1c(n2nc(C(F)(F)F)cc2)snc1c1ccccc1	",1.3445,0.976,0
MAC-0001499,"c1(cc(oc1C)c1sccc1)C(=O)O	",-1.5565,0.9655,0
MAC-0001500,"c1(N2CCCNCC2)ncc(cn1)CCC	",-1.891,0.9485,0
MAC-0001507,"c1(c(Oc2nc(C(F)(F)F)ccn2)ccs1)C(=O)OC	",0.578,0.9725,0
MAC-0001508,"C(c1nc(ncc1)NC1CCN(CC(CSc2ccccc2)O)CC1)(F)(F)F	",-2.2245,0.9935,0
MAC-0001512,"C1(=NCCN1)COc1cnccc1	",-0.08,0.9655,0
MAC-0001513,"c1(cc(oc1C)c1sccc1)C(=O)NCCNc1nc(C(F)(F)F)ccn1	",-0.6705,0.905,0
MAC-0001514,"c1(nc2c(s1)cc(cc2)Cl)N1CCN(C(=O)c2c(nc(C(F)(F)F)cc2)C)CC1	",0.765,0.983,0
MAC-0001515,"c1(c(nc(C(F)(F)F)cc1)C)C(=O)NCCNc1c(C(F)(F)F)cccn1	",-0.5055,0.962,0
MAC-0001516,"S(=O)(=O)(N1C(=NCC1)COc1cnccc1)c1ccc(cc1)Cl	",1.8765,1.006,0
MAC-0001517,"C(c1cnc(NCCNC(=O)NCCCC)cc1)(F)(F)F	",-0.48,0.969,0
MAC-0001520,"c1(c(cc(c(n1)C)C(=O)OC)C(=O)OCC)N1CCC(NC2C(O)CCCC2)CC1	",1.3285,0.986,0
MAC-0001521,"c1(c(nc(C(F)(F)F)cc1)C)C(=O)NCCNC(=O)OC(C)(C)C	",-0.473,1.0175,0
MAC-0001525,"C(=O)(N1CCC(Nc2nc(C(F)(F)F)ccn2)CC1)NC(C)(C)C	",0.1275,0.9485,0
MAC-0001526,"c1(C(=O)N2CCN(Cc3c(F)cccc3Cl)CC2)c(nc(C(F)(F)F)cc1)C	",-0.783,0.8845,0
MAC-0001527,"[N+](=O)(c1ccc(OCC(CN2CCOCC2)O)cc1)[O-]	",0.9525,0.966,0
MAC-0001528,"N1(C(=O)C2(CC1=O)CCCC2)CCNc1nc(C(F)(F)F)ccn1	",-0.298,0.9455,0
MAC-0001529,"c1(nc(C(F)(F)F)ccn1)N1CCN(C(C(=O)Nc2c(F)cccc2F)C)CC1	",1.703,0.9865,0
MAC-0001530,"c1(C(=O)N2CCCCC2)c(nc(C(F)(F)F)cc1)C	",-1.2935,0.942,0
MAC-0000012,"N1(C(=O)C2(CC1=O)CCCC2)CCNc1c(C(F)(F)F)cccn1	",1.257,0.9655,0
MAC-0001532,"n1c(C(F)(F)F)ccc(NC(=O)NCCNc2nc(C(F)(F)F)ccn2)c1C	",2.056,1.024,0
MAC-0001533,"C(c1nc(ncc1)NC1CCN(CC(COc2cc(c(cc2)Cl)Cl)O)CC1)(F)(F)F	",0.04,0.945,0
MAC-0000013,"N1(C(=O)C2(CC1=O)CCCC2)CCCNc1ncc(C(F)(F)F)cc1Cl	",2.1115,0.9115,0
MAC-0001535,"c1(ncc(cn1)CCC)NCCNCC(COc1cc(c(cc1)Cl)Cl)O	",-1.777,0.9355,0
MAC-0001537,"C(=O)(Nc1ccc(OCC(CN2CCCCC2)O)cc1)Nc1ccc(Cl)cc1	",-2.0875,0.9255,0
MAC-0001538,"C(c1cnc(NCCNC(=O)c2c(C(=O)O)cccc2)cc1)(F)(F)F	",-0.2845,0.9615,0
MAC-0001544,"C(c1cc(c(nc1)NCCCNC(=S)Nc1cnccc1)Cl)(F)(F)F	",-0.04,0.952,0
MAC-0001546,"c1(nc(C(F)(F)F)ccn1)Sc1c(NC(=O)CN2CCOCC2)cccc1	",-0.533,0.9455,0
MAC-0000014,"C(=S)(N1CCN(c2ncc(cn2)CCC)CCC1)Nc1cnccc1	",0.6475,1.007,0
MAC-0001551,"c1(nc(C(F)(F)F)ccn1)Sc1c(NC(=O)CSc2ncccc2)cccc1	",1.7235,0.959,0
MAC-0001555,"c1(ncc(cn1)CCC)NCCNCC(COc1ccccc1)O	",-1.1275,0.874,0
MAC-0001556,"C(=C\1/CCN(Cc2ccccc2)CC1)(/C(=O)OCC)\C#N	",0.9275,0.959,0
MAC-0001557,"c12c(ncnc2scc1c1ccccc1)NC1CCN(Cc2ccccc2)CC1	",-0.3225,0.9385,0
MAC-0001563,"c1(nc(C(F)(F)F)ccn1)N1CCC(NC(=O)OC(C)(C)C)CC1	",-1.2835,0.9485,0
MAC-0001567,"S(=O)(=O)(N1CCN(c2nc3c(s2)cc(cc3)Cl)CCC1)c1ccc(cc1)Cl	",0.3225,0.952,0
MAC-0000016,"n1(ccc2c1cccc2)CC(CN1CCC(NC2C(O)CCCC2)CC1)O	",-0.47,0.942,0
MAC-0001571,"S(=O)(=O)(N1CCC(NC(=O)OC(C)(C)C)CC1)c1ccc(cc1)Cl	",-0.3515,0.994,0
MAC-0001587,"C(=O)(N1CCN(Cc2c3c(ccc2)cccc3)CCC1)c1sccc1	",-3.3275,0.9285,0
MAC-0001597,"C(c1nc(ncc1)NCc1cc2c(OCO2)cc1)(F)(F)F	",-0.235,0.9045,0
MAC-0001612,"S(=O)(=O)(c1sc(c2nc(sc2)C)cc1)N1CCC(c2c(OC)cccc2)CC1	",5.504,1.0265,0
MAC-0001616,"c1(c(nc(c(c1)C(=O)OC)C)NCc1cc2c(OCO2)cc1)C(=O)OCC	",4.594,1.009,0
MAC-0001617,"c1(c(c(c(s1)C)c1ccccc1)C(=O)OCC)NC(=O)c1occc1	",4.893,1.0335,0
MAC-0001619,"c1(c(c(c(s1)C)c1ccccc1)C(=O)OCC)N1C(=O)CCC1=O	",0.235,0.9725,0
MAC-0000021,"C(=O)(N1CCN(C(=O)c2sccc2)CCC1)Nc1c(OC)cccc1	",-1.8985,0.949,0
MAC-0001627,"c12c3n(cnc1scc2c1ccccc1)cnn3	",-3.3805,0.9835,0
MAC-0001629,"c1(nc(C(F)(F)F)ccn1)N1CCC(NC(=O)c2occc2)CC1	",1.0415,0.9575,0
MAC-0001631,"c1(CN2CCN(C(=O)c3sccc3)CC2)c(Cl)cccc1F	",0.349,0.898,0
MAC-0001632,"c1(nc(C(F)(F)F)ccn1)N1CCC(NC(=S)NC2CC2)CC1	",-0.8365,0.9485,0
MAC-0001634,"n1(ccc2c1cccc2)CC(CN1CCN(Cc2c(F)cccc2Cl)CC1)O	",-1.127,0.9385,0
MAC-0001635,"c1(c(N2CCN(C(=O)/C=C/C(=O)O)CCC2)nccc1)C(F)(F)F	",0.8535,0.9795,0
